model,param1_name,param2_name,param1,param2,n_trials,sigma,prior_scale,n,original_pd_rate,fd_pd_rate,ad_pd_rate,original_numerical_failure_rate,fd_numerical_failure_rate,structural_laplace_failure_rate,median_original_ad_rel_error,median_fd_ad_rel_error,median_original_min_eig,median_fd_min_eig,median_ad_min_eig,median_original_log10_condition,median_fd_log10_condition,median_ad_log10_condition,median_abs_delta_loge_original_ad,median_abs_delta_loge_fd_ad
binary,alpha,beta,0.05,0.25,50,0.1,0.1,20,0.7,0.7,0.7,0.0,0.0,0.3,3.705551499834928e-05,2.3693684687245637e-07,0.866935437583468,0.867003542472899,0.8670021867119364,0.7921482815135219,0.7921667051177589,0.7921670121685965,3.0506242449490628e-05,2.7403060443020877e-07
binary,alpha,beta,0.05,0.5,50,0.1,0.1,20,0.85,0.85,0.85,0.0,0.0,0.15,3.9791507065383496e-05,2.1930597697048036e-07,1.679159336369466,1.679280035295986,1.6792786505676478,0.6171557699340092,0.6171380775689591,0.6171379584903535,4.435497927346432e-05,3.370413210745937e-07
binary,alpha,beta,0.05,1.0,50,0.1,0.1,20,0.85,0.85,0.85,0.0,0.0,0.15,3.645591361423803e-05,2.3405768330305545e-07,1.9164183772061631,1.916531610910035,1.9165305549368628,0.5787719045463676,0.5787687058662209,0.5787686818449511,3.465163893423551e-05,1.728487504237819e-07
binary,alpha,beta,0.05,3.0,50,0.1,0.1,20,1.0,1.0,1.0,0.0,0.0,0.0,0.0002338548119763,5.494558455376188e-07,0.41300108204645014,0.4133274967204411,0.41332526733060804,2.83615041829663,2.8361093154403,2.8361095328816783,0.0005101721256153,2.161180455928502e-06
binary,alpha,beta,0.05,8.0,50,0.1,0.1,20,1.0,1.0,1.0,0.0,0.0,0.0,0.00032005296917645,1.1134864127523534e-06,0.11344219304791944,0.11349426288079875,0.11349402758917375,3.844410814638409,3.844334404547403,3.8443340076732575,0.00038929029359020004,1.0536721295473228e-06
binary,alpha,beta,0.25,0.25,50,0.1,0.1,20,0.75,0.75,0.75,0.0,0.0,0.25,3.97262034946415e-05,2.1417975067843778e-07,1.3702586394152416,1.3703541532378667,1.370353006055765,0.54778085783168,0.5477955719798047,0.547795637504626,3.2628066080064855e-05,3.0064776268545756e-07
binary,alpha,beta,0.25,0.5,50,0.1,0.1,20,0.95,0.95,0.95,0.0,0.0,0.05,3.57329929234264e-05,2.201530476106308e-07,1.9420640158025573,1.9420950748584067,1.9420938106872758,0.5986125072147542,0.5986055264390311,0.5986055378252361,2.2413290267309097e-05,2.642186629486787e-07
binary,alpha,beta,0.25,1.0,50,0.1,0.1,20,1.0,1.0,1.0,0.0,0.0,0.0,4.1192503926114454e-05,1.2401874437528498e-07,1.9057920434481095,1.9059301057039622,1.9059292048571308,0.8937974066395244,0.8937631930349182,0.8937632649566802,5.262569306019316e-05,1.7073984004412068e-07
binary,alpha,beta,0.25,3.0,50,0.1,0.1,20,1.0,1.0,1.0,0.0,0.0,0.0,4.696468422274878e-05,7.753870458408246e-08,1.7393345267569371,1.7394805679858856,1.73948008532534,1.3544644455997914,1.3544537305358535,1.354453740172739,3.951948666447436e-05,6.286610165773254e-08
binary,alpha,beta,0.25,8.0,50,0.1,0.1,20,1.0,1.0,1.0,0.0,0.0,0.0,3.376599989207121e-05,6.271048657606626e-08,0.1415340950365247,0.14154294488508756,0.14154294276696935,2.2969904064661963,2.2969729864949917,2.2969729608000047,4.386005914641666e-05,5.022932264564517e-08
binary,alpha,beta,0.5,0.25,50,0.1,0.1,20,0.85,0.85,0.85,0.0,0.0,0.15,3.871634799268462e-05,1.7735265797928628e-07,2.059125392014138,2.0592780292135604,2.0592771066423596,0.716707758164216,0.7167125574111158,0.7167128080483027,4.522093491488022e-05,2.662992031332579e-07
binary,alpha,beta,0.5,0.5,50,0.1,0.1,20,0.9,0.9,0.9,0.0,0.0,0.1,4.132462616832109e-05,2.3662540970559813e-07,1.8659574168123436,1.8659829274623165,1.8659824163451506,0.6163854852539931,0.6163535264675009,0.6163535957413491,2.4606384460668096e-05,2.0713555670681671e-07
binary,alpha,beta,0.5,1.0,50,0.1,0.1,20,0.95,0.95,0.95,0.0,0.0,0.05,4.726529413495817e-05,1.322829108271085e-07,2.327672382881982,2.3277297934909873,2.327729447452645,0.7911209031957186,0.7911665418602946,0.7911672766702801,4.4665484999484306e-05,2.399703973310352e-07
binary,alpha,beta,0.5,3.0,50,0.1,0.1,20,1.0,1.0,1.0,0.0,0.0,0.0,2.5085984214931134e-05,2.962581570753848e-08,1.1984617446720542,1.198427347557172,1.1984273498921778,1.4424792809152973,1.4424752311254407,1.4424752399735143,1.7083643099269352e-05,2.8572594956699504e-08
