model,param1_name,param2_name,param1,param2,n_trials,sigma,prior_scale,n,original_pd_rate,fd_pd_rate,ad_pd_rate,original_numerical_failure_rate,fd_numerical_failure_rate,structural_laplace_failure_rate,median_original_ad_rel_error,median_fd_ad_rel_error,median_original_min_eig,median_fd_min_eig,median_ad_min_eig,median_original_log10_condition,median_fd_log10_condition,median_ad_log10_condition,median_abs_delta_loge_original_ad,median_abs_delta_loge_fd_ad
binary,alpha,beta,0.05,0.25,50,0.1,1.0,20,0.95,0.95,0.95,0.0,0.0,0.05,1.611995108481428e-05,1.0480110863143716e-07,3.610391842308938,3.6104154102293426,3.6104141316931972,0.6755057823142321,0.6755041773989022,0.675504320284909,1.871355695470811e-05,2.1903320401861495e-07
binary,alpha,beta,0.05,0.5,50,0.1,1.0,20,1.0,1.0,1.0,0.0,0.0,0.0,1.5902537710930806e-05,9.267613472881048e-08,3.705417901418988,3.705608850043242,3.705606603827772,0.7099032784207251,0.7098882307630546,0.7098883498434889,2.3630576240663004e-05,2.1737679034572468e-07
binary,alpha,beta,0.05,1.0,50,0.1,1.0,20,1.0,1.0,1.0,0.0,0.0,0.0,1.1041536408803794e-05,1.0115852452798058e-07,3.898674521034383,3.8985598816942693,3.8985592243401594,0.6671979573011478,0.6671967729909224,0.667196740044296,1.1570595935594952e-05,1.3360195438849587e-07
binary,alpha,beta,0.05,3.0,50,0.1,1.0,20,1.0,1.0,1.0,0.0,0.0,0.0,6.830186585612873e-05,1.415082674068042e-07,1.6620135259714761,1.6621371618684613,1.6621376898596303,1.6394270895993106,1.6394376081415245,1.6394375973999455,6.548963273187797e-05,2.525550311105462e-07
binary,alpha,beta,0.05,8.0,50,0.1,1.0,20,1.0,1.0,1.0,0.0,0.0,0.0,0.0001655291926205,2.9106271240822335e-07,0.8093451295123382,0.8094074678008769,0.8094074075710918,2.286521973206953,2.286573950648286,2.2865739370357243,0.00010226220382488559,2.2348546124817403e-07
binary,alpha,beta,0.25,0.25,50,0.1,1.0,20,1.0,1.0,1.0,0.0,0.0,0.0,1.0869793338916215e-05,1.235824672391627e-07,3.237736320340227,3.2377964047850964,3.2377950348246323,0.7310984189591065,0.7311011866070765,0.7311013117176572,1.5128410357334587e-05,2.1288843754518894e-07
binary,alpha,beta,0.25,0.5,50,0.1,1.0,20,1.0,1.0,1.0,0.0,0.0,0.0,1.1180739590273947e-05,8.552328596884708e-08,3.658648249464627,3.658656457513505,3.6586555564656793,0.6917986546838446,0.6917978341103019,0.6917979185550936,1.3476757402486328e-05,1.4998152764178485e-07
binary,alpha,beta,0.25,1.0,50,0.1,1.0,20,1.0,1.0,1.0,0.0,0.0,0.0,1.1052293852260022e-05,5.2069539769803115e-08,3.171316092042322,3.1713265166142195,3.171325965463974,0.8492794219070361,0.8492781159437854,0.8492781201499269,1.0851133895428688e-05,1.0262387561965626e-07
binary,alpha,beta,0.25,3.0,50,0.1,1.0,20,1.0,1.0,1.0,0.0,0.0,0.0,1.9905800936984595e-05,2.99261919311288e-08,2.0861884874530974,2.0862934230368357,2.0862934265478645,1.2900623674605711,1.29006495694158,1.2900649293624993,2.316052291462256e-05,5.0914486848796514e-08
binary,alpha,beta,0.25,8.0,50,0.1,1.0,20,1.0,1.0,1.0,0.0,0.0,0.0,1.6538597276110118e-05,2.3802136597253407e-08,0.7320195666647336,0.7320168533937006,0.7320168475335469,1.7710837437975795,1.7710795332765605,1.7710795202646783,1.766694034399663e-05,1.7562812093530056e-08
