model,seed,n_trials,optimization_method,objective_map,gradient_norm_map_fd,optimization_seconds,n_polish_steps,ad_polish_objective,ad_polish_seconds,ad_polish_gradient_norm,ad_polish_n_steps,gn_minus_ad_polish_objective,theta_true,theta_map,numpy_jax_objective_abs_error_map,numpy_jax_objective_abs_error_probe,ad_gradient_norm_probe,grad_h001_rel_error,grad_h0001_rel_error,grad_h00001_rel_error,grad_h000001_rel_error,grad_h0000001_rel_error,gn_ad_rel_fro_error,fd_ad_rel_fro_error,gn_logdet,fd_logdet,ad_logdet,gn_min_eig,fd_min_eig,ad_min_eig,fd_h001_rel_error,fd_h0001_rel_error,fd_h00001_rel_error,fd_h000001_rel_error,fd_h001_seconds,fd_h0001_seconds,fd_h00001_seconds,fd_h000001_seconds,ad_hessian_seconds,laplace_logevidence_gn,laplace_logevidence_fd,laplace_logevidence_ad,laplace_gn_minus_ad,laplace_fd_minus_ad
binary,123,250,lbfgsb+gn,126.78382637869288,1.9750971550653646e-06,0.38232262499877834,1,126.78382637869288,1.164155208000011,3.99066479482014e-07,1,0.0,[0.35 3.  ],[0.272888 2.801206],4.263256414560601e-14,0.0,11.73918402197137,1.3448190618329597e-06,1.3446751568704942e-08,1.9986960291893326e-10,3.1044021153222777e-10,1.4336845856311672e-08,0.5850542230920208,3.833375268448268e-08,7.408841493214429,6.800723097698435,6.80072298851284,8.643098272049134,7.414551368539877,7.4145508358653505,7.225483455832145e-07,3.833375268448268e-08,3.3318890654401677e-06,0.0006524632431473002,0.015216499999951338,0.014867582998704165,0.015071249999891734,0.015060957997775404,0.38911525000003166,-128.65037005889076,-128.34631086113274,-128.34631080653995,-0.304059252350811,-5.459278895614261e-08
binary,124,250,lbfgsb+gn,94.8858887362241,1.2933416681170697e-07,0.3359278340030869,1,94.88588873622412,1.1055328749971522,2.3316314028140372e-06,0,-1.4210854715202004e-14,[0.35 3.  ],[0.382357 3.074419],1.4210854715202004e-14,0.0,15.764935289187333,1.5216366008021603e-06,1.5210713245957616e-08,2.068260870336384e-10,5.637594576278957e-10,4.036481410648186e-09,0.23848390852919585,8.105774128574392e-09,7.489222892581632,7.251103491760649,7.25110341544327,9.237213450641876,9.017463663110025,9.017463038633952,1.1483268471474663e-06,8.105774128574392e-09,1.0389370806653227e-06,0.00024367031679341057,0.015567415997793432,0.01544833299703896,0.01538783299838542,0.015308999998524087,0.39800499999910244,-96.79262311610557,-96.67356341569509,-96.6735633775364,-0.1190597385691774,-3.81586886533114e-08
binary,125,250,lbfgsb+gn,114.86035788654179,5.293821123293461e-07,0.2861641250019602,1,114.86035788654179,1.0662797920012963,7.105427357601002e-09,1,0.0,[0.35 3.  ],[0.486629 2.774382],2.842170943040401e-14,0.0,14.334756621359398,5.460506289015984e-07,5.46086697741371e-09,5.079573393479237e-11,1.8965682428978964e-10,5.982113266290069e-09,0.0443806611783216,1.4454144948575104e-08,7.279127985715089,7.221855182302887,7.221855075645402,9.156004324688453,9.02341143274199,9.023410588845863,2.2465982925455994e-07,1.4454144948575104e-08,2.2735364728541934e-06,0.00020453349199288067,0.015326999997341773,0.015191624999715714,0.015129166000406258,0.015561958000034792,0.4486429579992546,-116.66204481298999,-116.63340841128388,-116.63340835795515,-0.028636455034842356,-5.3328733429225395e-08
binary,126,250,lbfgsb+gn,121.83629640414897,3.184711722495076e-08,0.3203777919989079,1,121.83629640414895,1.2298719999998866,7.971103733184449e-07,0,1.4210854715202004e-14,[0.35 3.  ],[0.373254 2.472622],0.0,0.0,17.435888404214175,4.511767379046691e-07,4.517421606453275e-09,9.4788757169939e-11,8.185796928309396e-10,1.7122740617764645e-09,0.02502287391915078,2.1436226025166133e-08,7.258314452439121,7.273445817621086,7.2734458373254895,10.318398486694182,10.660252779910229,10.660253216346515,2.6733530701662784e-06,2.1436226025166133e-08,1.5284988609570466e-06,0.0001484150289625832,0.014539291001710808,0.014542999997502193,0.014729624999745283,0.015040833000966813,0.3999670419980248,-123.62757656395918,-123.63514224655016,-123.63514225640236,0.007565692443179728,9.852200832938252e-09
binary,127,250,lbfgsb+gn,104.3261454887267,1.7316841407445142e-07,0.31058308399951784,0,104.32614548872671,1.1259528330010653,5.494063371198307e-07,0,-1.4210854715202004e-14,[0.35 3.  ],[0.45612  2.831602],1.4210854715202004e-14,1.4210854715202004e-14,16.264697885472337,5.485541783635588e-07,5.482882274241063e-09,7.824508726761706e-11,4.685501173066895e-10,6.5758550391284816e-09,0.3943546077479037,7.753426622362223e-08,7.05041706624319,6.710159895680219,6.71015975516028,9.830768690668975,9.766065142044525,9.766064526565799,1.7685352994978058e-06,7.753426622362223e-08,5.871151169423199e-06,0.0006478059950778197,0.015375916998891626,0.015230792003421811,0.015179707999777747,0.015188582998234779,0.4044988329987973,-106.01347695543895,-105.84334837015746,-105.84334829989749,-0.17012865554146117,-7.025997206255852e-08
binary,128,250,lbfgsb+gn,123.6132899948524,8.669638583426869e-07,0.35528387500016834,0,123.61328999485241,1.1035230420020525,2.704870860725613e-09,1,-1.4210854715202004e-14,[0.35 3.  ],[0.395982 2.626901],1.4210854715202004e-14,2.842170943040401e-14,14.799235082970235,1.0848395316310433e-06,1.0854265051600846e-08,2.2502605184830727e-10,4.698419529583084e-10,2.335555956118864e-09,0.44060610412996354,1.31882433249738e-08,7.360203445087434,6.954319261678919,6.954319211605602,9.645706825654825,9.19660446528478,9.19660412162845,9.301466279605118e-07,1.31882433249738e-08,4.352642272128067e-06,0.0003726099795586913,0.015386666000267724,0.0151779580010043,0.015250125001330161,0.01514891600163537,0.4051753749990894,-125.45551465098676,-125.25257255928251,-125.25257253424584,-0.202942116740914,-2.5036669626388175e-08
binary,129,250,lbfgsb+gn,122.81800932618823,4.689582056016661e-07,0.32740366700090817,1,122.81800932618822,1.184380709000834,9.950983939595746e-07,0,1.4210854715202004e-14,[0.35 3.  ],[0.303668 2.73753 ],1.4210854715202004e-14,2.842170943040401e-14,13.588349046867489,6.310229803443442e-07,6.3233733435915825e-09,8.903782321722116e-11,6.311350200426123e-10,5.6921633519246364e-09,0.29853828629907797,6.105926951543338e-08,7.213599034211608,6.975218760112582,6.975218717687947,7.965616088783709,8.127600841914575,8.1276009895728,5.316319593853908e-06,6.105926951543338e-08,2.2573304023593953e-07,0.00022661726223383851,0.015425082998262951,0.015278667000529822,0.015305334000004223,0.015287249996617902,0.40216058299847646,-124.58693177688468,-124.46774163983517,-124.46774161862285,-0.11919015826182999,-2.1212315459706588e-08
binary,130,250,lbfgsb+gn,96.5277094362452,1.8439380083844696e-07,0.37402395800017985,0,96.52770943624522,1.1265357920019596,7.463380636127716e-09,1,-1.4210854715202004e-14,[0.35 3.  ],[0.285236 3.111466],0.0,1.4210854715202004e-14,15.90551232592456,5.995597465313198e-07,5.9891879566488185e-09,6.286773973094485e-11,7.161392595231751e-10,1.967992246740528e-09,0.19697811254219633,5.659708021696109e-08,7.289114357108316,7.543099626621605,7.543099543776883,8.690169301422547,8.994538820748437,8.994538582301702,3.716566289155236e-06,5.659708021696109e-08,2.520014854656294e-06,0.00024044816296133685,0.01577995800107601,0.01562966699930257,0.015331957998569123,0.015421291998791276,0.4544478749994596,-98.33438954839,-98.46138218314665,-98.4613821417243,0.12699259333429325,-4.1422353547204693e-08
binary,131,250,lbfgsb+gn,101.58227782648545,1.1646672812358297e-06,0.3158072499973059,1,101.58227782648545,1.204572750000807,3.6664269102399943e-07,0,0.0,[0.35 3.  ],[0.362255 3.705955],0.0,1.4210854715202004e-14,15.358690155230626,3.3743591498828347e-06,3.3743897384967956e-08,3.4304350704797335e-10,3.4706879391008566e-10,3.4706879391008566e-10,0.0884140614106795,1.7715021060896938e-08,7.261560023674672,7.268685225052321,7.2686851853915275,6.185951486136496,5.6799954109526825,5.6799952862095475,8.220794710998024e-07,1.7715021060896938e-08,9.329674392086855e-07,0.00012524276511121583,0.015406750000693137,0.01516237499890849,0.015756583998154383,0.014890999998897314,0.44304920799913816,-103.37518077191343,-103.37874337260226,-103.37874335277186,0.0035625808584285323,-1.9830395103781484e-08
binary,132,250,lbfgsb+gn,104.53148915096328,1.4900518064157658e-07,0.2990539999991597,1,104.5314891509633,1.2169302920010523,2.464189558439204e-09,1,-1.4210854715202004e-14,[0.35 3.  ],[0.492262 2.883474],0.0,0.0,15.205824966302002,3.895064455462103e-07,3.894262971304796e-09,1.2085878046533453e-11,7.842015887756831e-10,2.699732892156797e-09,0.20771374573342308,5.940749602463277e-08,7.054678206481533,6.923920025302101,6.923919918839325,8.65207260742459,9.129201789746006,9.129201359302405,8.905682563226445e-07,5.940749602463277e-08,5.685777875043339e-06,0.0003862189431720932,0.015193457998975646,0.01475604200095404,0.014611999999033287,0.015364999999292195,0.41079700000045705,-106.2209511877947,-106.15557209720498,-106.15557204397359,-0.06537914382110444,-5.323138907442626e-08
