model,param1_name,param2_name,param1,param2,n_trials,sigma,prior_scale,n,original_pd_rate,fd_pd_rate,ad_pd_rate,original_numerical_failure_rate,fd_numerical_failure_rate,structural_laplace_failure_rate,median_original_ad_rel_error,median_fd_ad_rel_error,median_original_min_eig,median_fd_min_eig,median_ad_min_eig,median_original_log10_condition,median_fd_log10_condition,median_ad_log10_condition,median_abs_delta_loge_original_ad,median_abs_delta_loge_fd_ad
binary,alpha,beta,0.05,0.25,100,0.1,1.0,2,1.0,1.0,1.0,0.0,0.0,0.0,2.9035807448908556e-05,8.369072731671506e-08,7.761413085856779,7.761272255472791,7.76127191573907,0.3792436494348259,0.3792528792356561,0.379252885050944,1.4394795670114036e-05,3.603841491894855e-08
binary,alpha,beta,0.05,0.5,100,0.1,1.0,2,1.0,1.0,1.0,0.0,0.0,0.0,2.1792668971856965e-05,1.7302612566361618e-07,7.387474802010568,7.387852209777227,7.387849873977668,0.5174137345942073,0.5173917229905768,0.5173917686902212,1.9016658491466387e-05,1.9050438027079508e-07
binary,alpha,beta,0.05,1.0,100,0.1,1.0,2,1.0,1.0,1.0,0.0,0.0,0.0,1.3881122643732807e-05,1.919302075749459e-07,6.569606567945652,6.569845876784272,6.5698426900116536,0.5650638103730917,0.565047309438619,0.5650475198549927,1.8880851307301327e-05,3.7321888157748617e-07
binary,alpha,beta,0.05,3.0,100,0.1,1.0,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0002587503017156802,1.1308519436915714e-06,3.899297587447738,3.899505749859606,3.8995056340801324,1.6005689771906233,1.60062663748024,1.600626186092322,0.00016240373260951804,6.088957036354259e-07
binary,alpha,beta,0.05,8.0,100,0.1,1.0,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0002668293383474,1.5100060298935366e-06,1.3581533526124088,1.3582526044753267,1.358252768016341,2.580198550265836,2.5802828975540546,2.5802821882170046,0.00017056955623748817,6.93143655361439e-07
binary,alpha,beta,0.25,0.25,100,0.1,1.0,2,1.0,1.0,1.0,0.0,0.0,0.0,9.493289172524908e-05,1.7927748851742476e-07,6.905443358218398,6.905745443937194,6.9057428716802765,1.0969558715317418,1.096967140366922,1.0969672183894343,8.236072399365637e-05,2.3351110911562503e-07
binary,alpha,beta,0.25,0.5,100,0.1,1.0,2,1.0,1.0,1.0,0.0,0.0,0.0,5.51566197875708e-05,2.594118140529582e-07,5.181651952990494,5.1818322058938415,5.181827264502823,0.6686921881706133,0.6686902782754183,0.6686907754525289,4.3702879530371774e-05,7.172231875074431e-07
binary,alpha,beta,0.25,1.0,100,0.1,1.0,2,1.0,1.0,1.0,0.0,0.0,0.0,1.569808169598628e-05,6.217206387239711e-08,7.620674495909964,7.620722920778533,7.62072355766527,0.6299999154535512,0.6300022471293143,0.6300022265205921,9.869231234915787e-06,7.299826876305816e-08
binary,alpha,beta,0.25,3.0,100,0.1,1.0,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0003548813226373469,1.727539239026648e-06,2.9840718977229477,2.9840961683305967,2.984096295642721,1.891771529218881,1.8918848911813932,1.891884191655458,0.00017239398811592376,8.295878721753526e-07
binary,alpha,beta,0.25,8.0,100,0.1,1.0,2,1.0,1.0,1.0,0.0,0.0,0.0,3.037378591523966e-05,2.7082009682068248e-08,0.9327179984345948,0.9326805072477029,0.9326804758490603,2.2386666792159478,2.238697379292023,2.238697381817642,4.97729211001996e-06,2.9893803876746006e-08
binary,alpha,beta,0.5,0.25,100,0.1,1.0,2,1.0,1.0,1.0,0.0,0.0,0.0,1.3420875242081814e-05,1.3712683504575324e-07,7.9141878086293165,7.914245998705674,7.914243307297075,0.40426697346780005,0.40426494162589877,0.40426506489438074,2.5305686648380288e-06,1.9899911052334573e-07
binary,alpha,beta,0.5,0.5,100,0.1,1.0,2,1.0,1.0,1.0,0.0,0.0,0.0,1.1760822478588726e-05,7.858781616724562e-08,7.313884187525179,7.3139039880736245,7.313902351347092,0.5839379897219761,0.583941798097167,0.5839418752250995,7.0173809803009135e-06,1.3726209857622965e-07
binary,alpha,beta,0.5,1.0,100,0.1,1.0,2,1.0,1.0,1.0,0.0,0.0,0.0,2.0937918615155893e-05,1.5725505998227126e-08,7.899254693357553,7.899330052777518,7.8993302206173,0.656104907933246,0.6561082825523586,0.6561082726840173,1.33600131420053e-05,1.0920526705149314e-08
binary,alpha,beta,0.5,3.0,100,0.1,1.0,2,1.0,1.0,1.0,0.0,0.0,0.0,1.5615917168169705e-05,6.499798554028806e-09,3.0010374131750677,3.001192749782053,3.001192803626844,1.3498043150207206,1.349774957738637,1.3497749516978772,1.863827413473018e-05,1.5528453189972424e-08
