model,param1_name,param2_name,param1,param2,n_trials,sigma,prior_scale,n,original_pd_rate,fd_pd_rate,ad_pd_rate,original_numerical_failure_rate,fd_numerical_failure_rate,structural_laplace_failure_rate,median_original_ad_rel_error,median_fd_ad_rel_error,median_original_min_eig,median_fd_min_eig,median_ad_min_eig,median_original_log10_condition,median_fd_log10_condition,median_ad_log10_condition,median_abs_delta_loge_original_ad,median_abs_delta_loge_fd_ad
binary,alpha,beta,0.05,0.25,50,0.1,0.01,20,0.5,0.5,0.5,0.0,0.0,0.5,9.983165602400465e-05,2.9680553821955923e-07,-0.017459110281511602,-0.01731662958100785,-0.01731895343469775,0.9800215786655587,0.9800652835205941,0.9800660583386491,6.848672524917276e-05,1.065490568663563e-06
binary,alpha,beta,0.05,0.5,50,0.1,0.01,20,0.85,0.85,0.85,0.0,0.0,0.15,7.64246217251348e-05,3.002165030150193e-07,1.264627221537443,1.2647799494734324,1.264779616838057,0.7689706009276039,0.769000209300082,0.7689999992056495,6.176249305767101e-05,4.172948067093785e-07
binary,alpha,beta,0.05,1.0,50,0.1,0.01,20,0.75,0.75,0.75,0.0,0.0,0.25,9.032843039532679e-05,2.2673682115707208e-07,0.987488403011616,0.9878956752632553,0.9878929280550128,0.8469894641364094,0.8469965798514475,0.8469966254740399,3.811577748891182e-05,2.932568392566282e-07
binary,alpha,beta,0.05,3.0,50,0.1,0.01,20,1.0,1.0,1.0,0.0,0.0,0.0,0.00045268898534255,1.8139571734418343e-06,0.13299232990770044,0.133229793168024,0.1332297178521992,3.9028118371586227,3.9021863795191436,3.902188328992832,0.00113294617670155,4.2574286673868755e-06
binary,alpha,beta,0.05,8.0,50,0.1,0.01,20,1.0,1.0,1.0,0.0,0.0,0.0,0.0003805951512654,1.5795784729250116e-06,0.0540330528817939,0.0541083056141615,0.05410799475785135,4.299187936838571,4.29887642448541,4.298876114620096,0.0006019144228162,2.1136344248162686e-06
binary,alpha,beta,0.25,0.25,50,0.1,0.01,20,0.75,0.75,0.75,0.0,0.0,0.25,7.840419733240961e-05,3.195916064681647e-07,0.6005728923941858,0.6005741305212793,0.6005734678159205,0.8728531052653878,0.8728671517254946,0.8728674275051456,3.6040717247942666e-05,4.235430353105585e-07
binary,alpha,beta,0.25,0.5,50,0.1,0.01,20,0.85,0.85,0.85,0.0,0.0,0.15,5.7402773535040767e-05,1.9734421074457745e-07,1.7598918289504548,1.7600232433772565,1.7600215377806734,0.6050753662561493,0.6050463096522076,0.6050462379351753,7.074279836416508e-05,1.9406762419293957e-07
binary,alpha,beta,0.25,1.0,50,0.1,0.01,20,0.85,0.85,0.85,0.0,0.0,0.15,5.4522658268292676e-05,1.2612178515323497e-07,1.8808252947754047,1.880990450502359,1.8809896305572902,0.926972440410219,0.9269249852319634,0.9269252920611204,5.823166476304209e-05,1.604432853241633e-07
binary,alpha,beta,0.25,3.0,50,0.1,0.01,20,1.0,1.0,1.0,0.0,0.0,0.0,6.266996241137865e-05,6.293546033765624e-08,1.6856563513325407,1.6856561146930518,1.6856560586961065,1.432253392206217,1.43225369212997,1.4322536678769278,3.9004457779157065e-05,9.271192702442477e-08
binary,alpha,beta,0.25,8.0,50,0.1,0.01,20,1.0,1.0,1.0,0.0,0.0,0.0,4.3773147482777106e-05,7.508151212581454e-08,0.1193935971146945,0.11941043394988124,0.11941042774071514,2.377735521723537,2.3776846714047277,2.37768464367429,8.012059339324029e-05,6.113894068793257e-08
binary,alpha,beta,0.5,0.25,50,0.1,0.01,20,0.7,0.7,0.7,0.0,0.0,0.3,5.807035600832161e-05,1.5885653749284497e-07,1.8888382169613245,1.888822954882093,1.8888231420066628,0.6627356576924834,0.662753696802774,0.6627537714594152,4.464392151604102e-05,2.78101783379725e-07
binary,alpha,beta,0.5,0.5,50,0.1,0.01,20,0.85,0.85,0.85,0.0,0.0,0.15,3.439216300875592e-05,1.9568938267151502e-07,1.6328067481046453,1.6328147162017075,1.6328145366903923,0.7770948443447496,0.7770895273130249,0.7770895585170755,2.088527426735709e-05,2.0178352855282358e-07
binary,alpha,beta,0.5,1.0,50,0.1,0.01,20,0.8,0.8,0.8,0.0,0.0,0.2,5.6204542079072784e-05,1.1066956495696207e-07,2.2734493791838863,2.273509704417493,2.2735084753236245,0.7099145729519474,0.7099167353968124,0.7099167328831304,5.316189356818768e-05,1.5740016756637942e-07
binary,alpha,beta,0.5,3.0,50,0.1,0.01,20,1.0,1.0,1.0,0.0,0.0,0.0,2.6279368782452625e-05,3.29537527509091e-08,1.1581102421158507,1.1580934144685626,1.1580933756549432,1.452055554720356,1.4520532230174878,1.4520532349950068,2.128791071598357e-05,4.4958094136404725e-08
binary,alpha,beta,0.5,8.0,50,0.1,0.01,20,1.0,1.0,1.0,0.0,0.0,0.0,2.1468627540974275e-05,4.5157231731855e-08,0.11290845073104025,0.1129226887073216,0.1129226865877703,2.544789215866603,2.5448397759373678,2.544839770568995,4.6574556543665935e-05,4.8056008061792e-08
binary,alpha,beta,0.75,0.25,50,0.1,0.01,20,0.6,0.6,0.6,0.0,0.0,0.4,6.556608328836633e-05,2.404110065663391e-07,0.6267767633212975,0.6268408715062531,0.626841469661274,0.5360626270325319,0.5360693510751637,0.5360696176175562,3.775938263927969e-05,4.434452556267843e-07
binary,alpha,beta,0.75,0.5,50,0.1,0.01,20,0.85,0.85,0.85,0.0,0.0,0.15,3.505299485780855e-05,1.4558406160856445e-07,1.6359133949055638,1.635996606801016,1.635996027655334,0.7139810809928245,0.7139804793947655,0.7139805323908378,4.723310223297972e-05,1.971963712321667e-07
binary,alpha,beta,0.75,1.0,50,0.1,0.01,20,0.9,0.9,0.9,0.0,0.0,0.1,1.9789237589487055e-05,1.2558188465391917e-07,3.010894259019474,3.010866514475369,3.0108665941248205,0.6237325075013507,0.6237419875896293,0.6237419860976714,1.6897909990376547e-05,1.1824340973021208e-07
binary,alpha,beta,0.75,3.0,50,0.1,0.01,20,1.0,1.0,1.0,0.0,0.0,0.0,8.833848762157737e-06,1.7524693892332065e-08,1.3613818765001342,1.3614054517066894,1.3614053655757123,1.339989695533657,1.3400035656968532,1.340003569162127,1.3569599325080617e-05,3.186035257840558e-08
binary,alpha,beta,0.75,8.0,50,0.1,0.01,20,1.0,1.0,1.0,0.0,0.0,0.0,3.6924096666007014e-05,3.252779546964975e-08,0.05591442335219555,0.0559323409139449,0.05593232762690005,2.8087866896588967,2.8088065619728706,2.8088065756335414,0.00013831172543285,9.869860662092833e-08
binary,alpha,beta,0.95,0.25,50,0.1,0.01,20,0.75,0.75,0.75,0.0,0.0,0.25,4.76156727557409e-05,2.1657139126787735e-07,0.7943244020915379,0.7943177843553586,0.7943189890058509,0.8378519284645901,0.8378676467340869,0.8378675317771315,5.4019989370601706e-05,4.621963967110787e-07
binary,alpha,beta,0.95,0.5,50,0.1,0.01,20,0.8,0.8,0.8,0.0,0.0,0.2,3.0612462372429235e-05,1.769288788831011e-07,2.3329236974639294,2.333032304401499,2.3330322515710487,0.5988893856321578,0.5988726056592966,0.5988725747364746,1.4956912371744124e-05,1.4091577682506798e-07
binary,alpha,beta,0.95,1.0,50,0.1,0.01,20,0.8,0.8,0.8,0.0,0.0,0.2,2.566075210137009e-05,9.307393604890343e-08,3.1525751322293747,3.15264114726168,3.15264070724081,0.5636341092180586,0.5636176560925683,0.5636176877893583,6.4716376719786695e-06,1.1795616394749686e-07
binary,alpha,beta,0.95,3.0,50,0.1,0.01,20,1.0,1.0,1.0,0.0,0.0,0.0,2.1453109807658408e-05,2.0437913217244095e-08,1.4285459134348395,1.428616183800597,1.4286161059925067,1.368537942378037,1.368518976431651,1.368518983433941,1.153973572698419e-05,3.279338756101425e-08
binary,alpha,beta,0.95,8.0,50,0.1,0.01,20,1.0,1.0,1.0,0.0,0.0,0.0,3.523395561203113e-05,8.18359158124701e-09,0.02027050691569255,0.0202762680931425,0.02027626642856835,3.8633581924649016,3.863326239138033,3.863326247510644,0.00032606782630875003,1.9204564871699864e-07
